company_name,fit_score,industry_alignment,mission_alignment,career_alignment,growth_potential,reasoning,best_roles,interesting_factors,red_flags,confidence,run_id,source_path,timestamp,original_fit_score,calibrated_fit_score,calibration_feedback,calibrated_at
AAVAA,8.5,9.5,9.0,8.2,7.0,"Montreal wearable neurotechnology company developing attention-aware interfaces; small-team hiring risk. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with wearable neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Wearable neurotechnology; Legacy user-selected LAMP target,,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/aavaa.json,2026-08-05T16:26:30+00:00,,,,
AbCellera,5.6,5.0,6.0,5.5,6.0,"Existing inventory company; active Vancouver antibody-discovery platform with computational and laboratory work. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with ai-enabled drug discovery; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,AI-enabled drug discovery; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/abcellera.json,2026-08-05T16:26:30+00:00,,,,
Accenture,7.5,7.0,7.0,8.0,8.0,"Active global consulting employer with Canadian data/AI and health practices. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with ai and analytics consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,AI and analytics consulting; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/accenture.json,2026-08-05T16:26:30+00:00,,,,
Ada Health,8.1,9.0,8.5,7.3,8.0,"Active symptom-assessment and care-navigation AI company; primarily European footprint. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with healthcare ai; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Healthcare AI; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/ada-health.json,2026-08-05T16:26:30+00:00,,,,
Aicessible,5.6,5.0,6.0,5.5,6.0,"Identity/current web presence could not be confidently verified; retain as a low-confidence legacy lead. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with accessibility technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Accessibility technology; Legacy user-selected LAMP target,,3.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/aicessible.json,2026-08-05T16:26:30+00:00,,,,
Alto Neuroscience,7.7,8.5,9.0,6.5,6.5,"Active clinical-stage precision-psychiatry company using biomarkers and data science. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with precision psychiatry; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Precision psychiatry; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/alto-neuroscience.json,2026-08-05T16:26:30+00:00,,,,
Bain & Company,7.5,7.0,7.0,8.0,8.0,"Active global consultancy with advanced analytics/AI work and Canadian offices. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with analytics consulting; career score reflects current role visibility, geography and employer type rather than mission alone.",AI / Data Consultant; Data Scientist; Applied AI Engineer,Analytics consulting; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/bain-company.json,2026-08-05T16:26:30+00:00,,,,
Bayer,7.4,8.0,8.0,6.5,7.0,"Active large life-sciences employer with data-science and digital-health potential in Canada. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with pharmaceuticals and life sciences; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Pharmaceuticals and life sciences; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/bayer.json,2026-08-05T16:26:30+00:00,,,,
Behold.ai,8.1,9.0,8.5,7.3,8.0,"UK medical-imaging AI company; Canadian hiring support is unverified. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with medical imaging ai; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Medical imaging AI; Legacy user-selected LAMP target,Canadian hiring support is unverified,8.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/behold-ai.json,2026-08-05T16:26:30+00:00,,,,
BenchSci,8.7,9.0,8.5,9.2,8.0,"Active; AI-assisted preclinical R&D platform headquartered in Toronto. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with ai drug discovery; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,AI drug discovery; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/benchsci.json,2026-08-05T16:26:30+00:00,,,,
